subject_id	predicate_id	source_language	source_value	translation_language	translation_value	translator	translator_expertise	translation_status	translation_date	comment
MEDICNE:00009630-ea5a-5917-9d8a-68396a3b3b45	rdfs:label	zh	注射用盐酸头孢吡肟/氯化钠注射液	en-us	Cefpirome Hydrochloride and Sodium Chloride Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0005dc30-1485-5b4d-aa25-2b345e259769	rdfs:label	ru	Эплонтерсен	en-us	Eplonterisen	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:000aaaca-ed45-52fd-b667-52ae6ea1d991	rdfs:label	zh	羟考酮纳洛酮缓释片	en-us	Hydrocodone/Naloxone Extended-Release Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:000dfeb1-130e-5510-b906-f84128815535	rdfs:label	ru	Теноксикам	en-us	Tenoxicam	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00277930-460b-518e-a9de-598fc7f4ae29	rdfs:label	zh	亚叶酸钙注射液	en-us	Calcium Subfolate Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:002bbe41-2c49-523c-99b9-ad4970b03556	rdfs:label	ru	Алка-Зельтцер	en-us	Alka-Seltzer	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:004cf3fc-5320-566c-8630-e3f154a420fc	rdfs:label	ru	Туя-плюс	en-us	Thuja-Plus	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:004cf8fd-b613-5657-981e-c86420ff65b1	rdfs:label	zh	盐酸乙胺丁醇片	en-us	Ethambutol Hydrochloride Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:004e551d-1c61-5c55-ab9a-427bf0d0a871	rdfs:label	ru	Интерферон альфа-2b+Метронидазол+Тербинафин	en-us	Interferon alfa-2b + Metronidazole + Terbinafine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00517ad3-f577-52cc-b05c-2056ee8791e4	rdfs:label	zh	恩他卡朋片	en-us	Enta Kapon Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0058992b-9c42-567e-9cd2-ea911dc75c26	rdfs:label	ru	Йобенгуан (123I)	en-us	Yobenguan (123I)	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:005ce08d-532c-5d5d-9c67-1db55db85b86	rdfs:label	ru	Артра®	en-us	Artra®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00882fd7-36fe-58a8-81c8-aad913e14215	rdfs:label	ru	Клемастин	en-us	Clemastine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00893942-4d34-56af-925b-f48806e80166	rdfs:label	ru	Женьшеня настоящего корни	en-us	True Ginseng Roots	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
